phen_id,trait_type,phenocode,pheno_sex,coding,modifier,description,category,n_cases_EUR,filename
5272,icd10,T42,both_sexes,,,"T42 Poisoning by antiepileptic, sedative-hypnotic and anti-Parkinsonism drugs","Chapter XIX Injury, poisoning and certain other consequences of external causes | T36-T50 Poisoning by drugs, medicaments and biological substances | T42 Poisoning by antiepileptic, sedative-hypnotic and anti-Parkinsonism drugs",1011.0,icd10-T42-both_sexes.tsv.bgz
5273,icd10,T43,both_sexes,,,"T43 Poisoning by psychotropic drugs, not elsewhere classified","Chapter XIX Injury, poisoning and certain other consequences of external causes | T36-T50 Poisoning by drugs, medicaments and biological substances | T43 Poisoning by psychotropic drugs, not elsewhere classified",1266.0,icd10-T43-both_sexes.tsv.bgz
5274,icd10,T44,both_sexes,,,T44 Poisoning by drugs primarily affecting the autonomic nervous system,"Chapter XIX Injury, poisoning and certain other consequences of external causes | T36-T50 Poisoning by drugs, medicaments and biological substances | T44 Poisoning by drugs primarily affecting the autonomic nervous system",218.0,icd10-T44-both_sexes.tsv.bgz
5275,icd10,T45,both_sexes,,,"T45 Poisoning by primarily systemic and haematological agents, not elsewhere classified","Chapter XIX Injury, poisoning and certain other consequences of external causes | T36-T50 Poisoning by drugs, medicaments and biological substances | T45 Poisoning by primarily systemic and haematological agents, not elsewhere classified",243.0,icd10-T45-both_sexes.tsv.bgz
5276,icd10,T46,both_sexes,,,T46 Poisoning by agents primarily affecting the cardiovascular system,"Chapter XIX Injury, poisoning and certain other consequences of external causes | T36-T50 Poisoning by drugs, medicaments and biological substances | T46 Poisoning by agents primarily affecting the cardiovascular system",260.0,icd10-T46-both_sexes.tsv.bgz
5277,icd10,T47,both_sexes,,,T47 Poisoning by agents primarily affecting gastro-intestinal system,"Chapter XIX Injury, poisoning and certain other consequences of external causes | T36-T50 Poisoning by drugs, medicaments and biological substances | T47 Poisoning by agents primarily affecting gastro-intestinal system",110.0,icd10-T47-both_sexes.tsv.bgz
5278,icd10,T50,both_sexes,,,"T50 Poisoning by diuretics and other and unspecified drugs, medicaments and biological substances","Chapter XIX Injury, poisoning and certain other consequences of external causes | T36-T50 Poisoning by drugs, medicaments and biological substances | T50 Poisoning by diuretics and other and unspecified drugs, medicaments and biological substances",405.0,icd10-T50-both_sexes.tsv.bgz
5279,icd10,T51,both_sexes,,,T51 Toxic effect of alcohol,"Chapter XIX Injury, poisoning and certain other consequences of external causes | T51-T65 Toxic effects of substances chiefly nonmedicinal as to source | T51 Toxic effect of alcohol",1077.0,icd10-T51-both_sexes.tsv.bgz
5280,icd10,T59,both_sexes,,,"T59 Toxic effect of other gases, fumes and vapours","Chapter XIX Injury, poisoning and certain other consequences of external causes | T51-T65 Toxic effects of substances chiefly nonmedicinal as to source | T59 Toxic effect of other gases, fumes and vapours",107.0,icd10-T59-both_sexes.tsv.bgz
5281,icd10,T63,both_sexes,,,T63 Toxic effect of contact with venomous animals,"Chapter XIX Injury, poisoning and certain other consequences of external causes | T51-T65 Toxic effects of substances chiefly nonmedicinal as to source | T63 Toxic effect of contact with venomous animals",138.0,icd10-T63-both_sexes.tsv.bgz
5282,icd10,T78,both_sexes,,,"T78 Adverse effects, not elsewhere classified","Chapter XIX Injury, poisoning and certain other consequences of external causes | T66-T78 Other and unspecified effects of external causes | T78 Adverse effects, not elsewhere classified",1125.0,icd10-T78-both_sexes.tsv.bgz
5283,icd10,T79,both_sexes,,,"T79 Certain early complications of trauma, not elsewhere classified","Chapter XIX Injury, poisoning and certain other consequences of external causes | T79-T79 Certain early complications of trauma | T79 Certain early complications of trauma, not elsewhere classified",566.0,icd10-T79-both_sexes.tsv.bgz
5284,icd10,T80,both_sexes,,,"T80 Complications following infusion, transfusion and therapeutic injection","Chapter XIX Injury, poisoning and certain other consequences of external causes | T80-T88 Complications of surgical and medical care, not elsewhere classified | T80 Complications following infusion, transfusion and therapeutic injection",332.0,icd10-T80-both_sexes.tsv.bgz
5285,icd10,T81,both_sexes,,,"T81 Complications of procedures, not elsewhere classified","Chapter XIX Injury, poisoning and certain other consequences of external causes | T80-T88 Complications of surgical and medical care, not elsewhere classified | T81 Complications of procedures, not elsewhere classified",15356.0,icd10-T81-both_sexes.tsv.bgz
5286,icd10,T82,both_sexes,,,"T82 Complications of cardiac and vascular prosthetic devices, implants and grafts","Chapter XIX Injury, poisoning and certain other consequences of external causes | T80-T88 Complications of surgical and medical care, not elsewhere classified | T82 Complications of cardiac and vascular prosthetic devices, implants and grafts",3053.0,icd10-T82-both_sexes.tsv.bgz
5287,icd10,T83,both_sexes,,,"T83 Complications of genito-urinary prosthetic devices, implants and grafts","Chapter XIX Injury, poisoning and certain other consequences of external causes | T80-T88 Complications of surgical and medical care, not elsewhere classified | T83 Complications of genito-urinary prosthetic devices, implants and grafts",1566.0,icd10-T83-both_sexes.tsv.bgz
5288,icd10,T84,both_sexes,,,"T84 Complications of internal orthopaedic prosthetic devices, implants and grafts","Chapter XIX Injury, poisoning and certain other consequences of external causes | T80-T88 Complications of surgical and medical care, not elsewhere classified | T84 Complications of internal orthopaedic prosthetic devices, implants and grafts",6006.0,icd10-T84-both_sexes.tsv.bgz
5289,icd10,T85,both_sexes,,,"T85 Complications of other internal prosthetic devices, implants and grafts","Chapter XIX Injury, poisoning and certain other consequences of external causes | T80-T88 Complications of surgical and medical care, not elsewhere classified | T85 Complications of other internal prosthetic devices, implants and grafts",2835.0,icd10-T85-both_sexes.tsv.bgz
5290,icd10,T86,both_sexes,,,T86 Failure and rejection of transplanted organs and tissues,"Chapter XIX Injury, poisoning and certain other consequences of external causes | T80-T88 Complications of surgical and medical care, not elsewhere classified | T86 Failure and rejection of transplanted organs and tissues",415.0,icd10-T86-both_sexes.tsv.bgz
5291,icd10,T87,both_sexes,,,T87 Complications peculiar to reattachment and amputation,"Chapter XIX Injury, poisoning and certain other consequences of external causes | T80-T88 Complications of surgical and medical care, not elsewhere classified | T87 Complications peculiar to reattachment and amputation",200.0,icd10-T87-both_sexes.tsv.bgz
5292,icd10,T88,both_sexes,,,"T88 Other complications of surgical and medical care, not elsewhere classified","Chapter XIX Injury, poisoning and certain other consequences of external causes | T80-T88 Complications of surgical and medical care, not elsewhere classified | T88 Other complications of surgical and medical care, not elsewhere classified",906.0,icd10-T88-both_sexes.tsv.bgz
5293,icd10,T90,both_sexes,,,T90 Sequelae of injuries of head,"Chapter XIX Injury, poisoning and certain other consequences of external causes | T90-T98 Sequelae of injuries, of poisoning and of other consequences of external causes | T90 Sequelae of injuries of head",636.0,icd10-T90-both_sexes.tsv.bgz
5294,icd10,T91,both_sexes,,,T91 Sequelae of injuries of neck and trunk,"Chapter XIX Injury, poisoning and certain other consequences of external causes | T90-T98 Sequelae of injuries, of poisoning and of other consequences of external causes | T91 Sequelae of injuries of neck and trunk",359.0,icd10-T91-both_sexes.tsv.bgz
5295,icd10,T92,both_sexes,,,T92 Sequelae of injuries of upper limb,"Chapter XIX Injury, poisoning and certain other consequences of external causes | T90-T98 Sequelae of injuries, of poisoning and of other consequences of external causes | T92 Sequelae of injuries of upper limb",823.0,icd10-T92-both_sexes.tsv.bgz
5296,icd10,T93,both_sexes,,,T93 Sequelae of injuries of lower limb,"Chapter XIX Injury, poisoning and certain other consequences of external causes | T90-T98 Sequelae of injuries, of poisoning and of other consequences of external causes | T93 Sequelae of injuries of lower limb",947.0,icd10-T93-both_sexes.tsv.bgz
5297,icd10,T98,both_sexes,,,T98 Sequelae of other and unspecified effects of external causes,"Chapter XIX Injury, poisoning and certain other consequences of external causes | T90-T98 Sequelae of injuries, of poisoning and of other consequences of external causes | T98 Sequelae of other and unspecified effects of external causes",131.0,icd10-T98-both_sexes.tsv.bgz
5298,icd10,U51,both_sexes,,,U51 Admission status on psychiatric patients,Chapter XXII Codes for special purposes | U00-U49 Provisional assignment of new diseases of uncertain etiology or emergency use | U51 Admission status on psychiatric patients,169.0,icd10-U51-both_sexes.tsv.bgz
5299,icd10,U80,both_sexes,,,U80 Agent resistant to penicillin and related antibiotics,Chapter XXII Codes for special purposes | U00-U49 Provisional assignment of new diseases of uncertain etiology or emergency use | U80 Agent resistant to penicillin and related antibiotics,850.0,icd10-U80-both_sexes.tsv.bgz
5300,icd10,U82,both_sexes,,,U82 Resistance to betalactam antibiotics,Chapter XXII Codes for special purposes | U82-U85 Resistance to antimicrobial and antineoplastic drugs | U82 Resistance to betalactam antibiotics,314.0,icd10-U82-both_sexes.tsv.bgz
5301,icd10,U83,both_sexes,,,U83 Resistance to other antibiotics,Chapter XXII Codes for special purposes | U82-U85 Resistance to antimicrobial and antineoplastic drugs | U83 Resistance to other antibiotics,197.0,icd10-U83-both_sexes.tsv.bgz
5302,icd10,U89,both_sexes,,,U89 Agent resistant to other and unspecified antibiotics,Chapter XXII Codes for special purposes | U82-U85 Resistance to antimicrobial and antineoplastic drugs | U89 Agent resistant to other and unspecified antibiotics,255.0,icd10-U89-both_sexes.tsv.bgz
5303,icd10,V03,both_sexes,,,"V03 Pedestrian injured in collision with car, pick-up truck or van","Chapter XX External causes of morbidity and mortality | V01-V09 Pedestrian injured in transport accident | V03 Pedestrian injured in collision with car, pick-up truck or van",417.0,icd10-V03-both_sexes.tsv.bgz
5304,icd10,V13,both_sexes,,,"V13 Pedal cyclist injured in collision with car, pick-up truck or van","Chapter XX External causes of morbidity and mortality | V10-V19 Pedal cyclist injured in transport accident | V13 Pedal cyclist injured in collision with car, pick-up truck or van",410.0,icd10-V13-both_sexes.tsv.bgz
5305,icd10,V18,both_sexes,,,V18 Pedal cyclist injured in noncollision transport accident,Chapter XX External causes of morbidity and mortality | V10-V19 Pedal cyclist injured in transport accident | V18 Pedal cyclist injured in noncollision transport accident,1426.0,icd10-V18-both_sexes.tsv.bgz
5306,icd10,V19,both_sexes,,,V19 Pedal cyclist injured in other and unspecified transport accidents,Chapter XX External causes of morbidity and mortality | V10-V19 Pedal cyclist injured in transport accident | V19 Pedal cyclist injured in other and unspecified transport accidents,215.0,icd10-V19-both_sexes.tsv.bgz
5307,icd10,V23,both_sexes,,,"V23 Motorcycle rider injured in collision with car, pick-up truck or van","Chapter XX External causes of morbidity and mortality | V20-V29 Motorcycle rider injured in transport accident | V23 Motorcycle rider injured in collision with car, pick-up truck or van",297.0,icd10-V23-both_sexes.tsv.bgz
5308,icd10,V28,both_sexes,,,V28 Motorcycle rider injured in noncollision transport accident,Chapter XX External causes of morbidity and mortality | V20-V29 Motorcycle rider injured in transport accident | V28 Motorcycle rider injured in noncollision transport accident,403.0,icd10-V28-both_sexes.tsv.bgz
5309,icd10,V29,both_sexes,,,V29 Motorcycle rider injured in other and unspecified transport accidents,Chapter XX External causes of morbidity and mortality | V20-V29 Motorcycle rider injured in transport accident | V29 Motorcycle rider injured in other and unspecified transport accidents,141.0,icd10-V29-both_sexes.tsv.bgz
5310,icd10,V43,both_sexes,,,"V43 Car occupant injured in collision with car, pick-up truck or van","Chapter XX External causes of morbidity and mortality | V40-V49 Car occupant injured in transport accident | V43 Car occupant injured in collision with car, pick-up truck or van",718.0,icd10-V43-both_sexes.tsv.bgz
5311,icd10,V47,both_sexes,,,V47 Car occupant injured in collision with fixed or stationary object,Chapter XX External causes of morbidity and mortality | V40-V49 Car occupant injured in transport accident | V47 Car occupant injured in collision with fixed or stationary object,176.0,icd10-V47-both_sexes.tsv.bgz
5312,icd10,V48,both_sexes,,,V48 Car occupant injured in noncollision transport accident,Chapter XX External causes of morbidity and mortality | V40-V49 Car occupant injured in transport accident | V48 Car occupant injured in noncollision transport accident,233.0,icd10-V48-both_sexes.tsv.bgz
5313,icd10,V49,both_sexes,,,V49 Car occupant injured in other and unspecified transport accidents,Chapter XX External causes of morbidity and mortality | V40-V49 Car occupant injured in transport accident | V49 Car occupant injured in other and unspecified transport accidents,269.0,icd10-V49-both_sexes.tsv.bgz
5314,icd10,V78,both_sexes,,,V78 Bus occupant injured in noncollision transport accident,Chapter XX External causes of morbidity and mortality | V70-V79 Bus occupant injured in transport accident | V78 Bus occupant injured in noncollision transport accident,103.0,icd10-V78-both_sexes.tsv.bgz
5315,icd10,V80,both_sexes,,,V80 Animal-rider or occupant of animal-drawn vehicle injured in transport accident,Chapter XX External causes of morbidity and mortality | V80-V89 Other land transport accidents | V80 Animal-rider or occupant of animal-drawn vehicle injured in transport accident,383.0,icd10-V80-both_sexes.tsv.bgz
5316,icd10,V89,both_sexes,,,"V89 Motor- or nonmotor-vehicle accident, type of vehicle unspecified","Chapter XX External causes of morbidity and mortality | V80-V89 Other land transport accidents | V89 Motor- or nonmotor-vehicle accident, type of vehicle unspecified",190.0,icd10-V89-both_sexes.tsv.bgz
5317,icd10,W00,both_sexes,,,W00 Fall on same level involving ice and snow,Chapter XX External causes of morbidity and mortality | W00-W19 Falls | W00 Fall on same level involving ice and snow,1255.0,icd10-W00-both_sexes.tsv.bgz
5318,icd10,W01,both_sexes,,,"W01 Fall on same level from slipping, tripping and stumbling","Chapter XX External causes of morbidity and mortality | W00-W19 Falls | W01 Fall on same level from slipping, tripping and stumbling",7628.0,icd10-W01-both_sexes.tsv.bgz
5319,icd10,W02,both_sexes,,,"W02 Fall involving ice-skates, skis, roller-skates or skateboards","Chapter XX External causes of morbidity and mortality | W00-W19 Falls | W02 Fall involving ice-skates, skis, roller-skates or skateboards",397.0,icd10-W02-both_sexes.tsv.bgz
5320,icd10,W03,both_sexes,,,"W03 Other fall on same level due to collision with, or pushing by, another person","Chapter XX External causes of morbidity and mortality | W00-W19 Falls | W03 Other fall on same level due to collision with, or pushing by, another person",289.0,icd10-W03-both_sexes.tsv.bgz
5321,icd10,W06,both_sexes,,,W06 Fall involving bed,Chapter XX External causes of morbidity and mortality | W00-W19 Falls | W06 Fall involving bed,414.0,icd10-W06-both_sexes.tsv.bgz
